id,primary,yearpublished,minplayers,maxplayers,playingtime,minage,owned,trading,wanting,wishing,average,bayes_average,users_rated,is_popular
302463,Telestrations: Upside Drawn,2020,4,12,20,12,260,8,10,43,6.73,5.532,53,1
3701,Smear,1999,2,6,30,6,80,6,3,12,5.29,5.493,53,0
16972,"Alexandria, 1801",1996,2,2,240,12,195,9,5,14,7.39,5.55,53,1
269077,The Game of Wolf,2019,4,12,45,14,144,8,4,33,6.77,5.53,53,1
226619,Medievalia,2017,2,6,45,10,123,3,0,9,7.07,5.54,53,1
218615,Tropico,2017,2,8,0,8,126,1,2,9,6.26,5.523,53,0
199497,Squirmish,2016,2,4,60,10,162,10,11,57,6.66,5.528,53,1
172159,King's Champion,2017,2,2,90,14,294,21,5,32,6.56,5.521,53,1
35425,Mutants and Death Ray Guns,2008,2,6,30,0,172,1,0,22,7.51,5.557,53,1
230910,Mistigri,2005,2,4,0,4,162,0,0,1,5.71,5.506,53,0
113324,Dungeon Delver,2011,1,1,20,5,91,3,2,29,6.11,5.514,53,0
177995,"Graveyards, Ghosts & Haunted Houses",2015,2,4,30,8,138,8,1,17,6.55,5.528,53,1
308354,Open Ocean,2020,1,5,30,8,164,4,5,41,7.18,5.535,53,1
29376,The Battle of Adobe Walls,2009,2,2,0,12,294,6,23,71,7.62,5.558,53,1
263809,Zombie Bus,2018,2,5,30,10,94,1,1,9,6.67,5.535,53,1
17529,Haggle,1963,10,100,300,10,54,0,6,44,6.7,5.533,53,1
242523,Dolly Crush,2017,2,4,20,7,101,1,0,1,6.0,5.514,53,0
320505,Mattock,2020,2,2,40,8,9,0,1,11,5.94,5.507,53,0
150827,Monster City Planners,2013,2,4,20,12,101,9,0,9,6.25,5.523,53,0
186141,Tong,2015,1,2,20,8,112,0,0,27,6.06,5.514,53,0
39320,Potions,2008,2,4,0,8,131,15,0,5,4.45,5.468,53,0
270871,Agemonia,2022,1,4,120,10,26,1,36,466,8.69,5.57,53,1
13010,Interpol,1978,2,4,30,9,161,5,1,4,5.73,5.507,53,0
6447,Time Control,2003,2,4,45,12,102,11,3,8,2.14,5.394,53,0
262534,Oak & Iron: Core Box,2019,2,6,45,12,183,2,15,64,8.75,5.571,53,1
174927,Masterline,2015,2,2,15,7,141,12,0,6,5.24,5.492,53,0
11373,Autumn of Glory,1995,2,2,0,12,326,20,11,24,6.72,5.531,53,1
23404,Les morts aux trousses,2006,3,6,90,12,113,3,3,11,6.25,5.523,53,0
22123,Enkounter,2006,1,3,15,6,187,12,3,10,5.71,5.507,53,0
16987,Diggity Dog,1999,2,4,15,3,97,4,0,2,4.96,5.477,53,0
201243,Baby Blues,2016,3,5,30,8,192,14,1,8,5.87,5.506,53,0
13182,Korsun Pocket: Little Stalingrad on the Dnepr,1979,2,6,6000,12,185,8,23,48,7.89,5.569,53,1
287711,The Path of the Adventurers,2021,1,4,90,14,96,6,7,61,7.72,5.53,53,1
8448,Bible Challenge,1984,2,16,90,10,147,5,1,8,5.09,5.486,53,0
289363,Ms. Monopoly,2019,2,6,0,8,103,0,0,4,2.46,5.409,53,0
286659,Voll verasselt,2019,2,5,30,8,89,4,9,35,6.03,5.512,53,0
1167,Flower Power,1998,2,6,10,10,78,7,4,14,6.19,5.52,53,0
3302,Machu Picchu,1998,2,4,40,12,127,11,3,8,5.01,5.485,53,0
4843,Give Me Liberty,1992,1,2,120,12,205,11,8,14,5.87,5.51,53,0
172550,Harry Hopper,2015,2,4,20,6,111,5,2,12,6.53,5.517,53,1
312346,Munchkin Disney,2020,3,6,60,10,370,4,5,62,6.88,5.527,53,1
11476,The Atlanta Campaign: Bald Hill and Ezra Church,1993,2,2,300,12,347,14,2,11,5.86,5.507,53,0
7488,Squeeky,2003,2,6,30,6,82,3,1,6,5.43,5.493,53,0
16802,Mastermind Challenge,1993,2,2,30,8,123,1,4,7,5.79,5.511,53,0
31558,"First Blood: Second Marne, 15 July 1918",2008,2,2,0,0,243,11,2,8,6.03,5.515,53,0
315624,World Changers,2021,1,4,10,10,150,3,20,180,6.86,5.528,53,1
1603,Cortez,2001,2,6,90,10,131,15,3,10,4.52,5.47,53,0
6759,Dispatcher,1958,2,2,360,12,253,16,20,27,6.01,5.51,53,0
166246,Sifaka,2014,2,4,30,8,81,3,1,10,6.23,5.522,53,0
131735,Castles,2012,2,4,45,13,119,13,2,9,4.44,5.469,53,0
206798,Chaparral,2016,2,4,90,12,121,1,1,17,7.68,5.557,53,1
18311,Battlefront: WWII,2002,2,8,180,12,106,4,3,12,7.33,5.55,53,1
20514,Dagger Thrusts,2005,1,2,180,12,271,12,10,14,6.38,5.52,53,0
148522,Dice Crawl,2014,1,4,30,10,144,11,7,35,5.81,5.517,53,0
136523,Full Moon,2013,2,2,10,8,128,4,1,17,5.83,5.511,53,0
6874,Müller & Sohn,1985,4,6,45,8,289,24,5,14,5.19,5.491,53,0
8133,30 Second Mysteries,1995,2,2,10,12,238,24,2,3,4.17,5.461,53,0
4171,Sailor Moon CCG,2000,2,2,20,10,146,9,5,14,5.92,5.503,53,0
245750,Sonic the Hedgehog: Battle Racers,2018,1,5,60,9,155,4,10,34,6.88,5.526,53,1
75668,Whist 22,0,3,5,20,0,19,0,0,3,6.2,5.522,53,0
10084,Stuff Yer Face,1982,2,2,10,6,58,3,5,8,6.27,5.524,53,0
4117,Ruffhouse,1980,2,4,60,8,194,11,0,3,4.65,5.473,53,0
151603,Scrabble Twists & Turns,2012,2,4,30,10,165,3,0,5,5.67,5.504,53,0
281680,Beam me up,2019,2,4,20,8,103,1,1,16,5.8,5.509,53,0
203673,Complicated Board Game the Card Game,2017,3,6,20,13,162,8,2,13,6.44,5.524,53,0
164808,El Switcher,2013,2,4,45,10,82,2,0,3,6.76,5.534,53,1
39372,The Crazy Cat Lady Game,2008,2,4,0,8,145,3,1,19,4.16,5.456,53,0
261666,Warfighter: The Private Military Contractor Card Game,2019,1,6,90,14,206,5,19,40,7.75,5.555,53,1
203215,Robit Riddle: Storybook Adventures,2018,1,6,45,8,196,18,7,54,6.36,5.524,53,0
204578,Cattack! No.1,2016,2,4,15,6,73,3,6,28,6.78,5.536,53,1
11527,Friedland,1992,2,2,0,12,320,22,3,12,6.11,5.515,53,0
20028,"The Chronicles of Narnia The Lion, The Witch and The Wardrobe Game",2005,0,4,0,8,183,7,1,16,4.69,5.478,53,0
10326,Woods & Water,1995,2,4,60,0,101,7,2,4,6.29,5.515,53,0
147581,The Rats in the Walls,2013,3,6,30,12,117,8,3,20,4.75,5.476,53,0
5464,Calypso,1987,2,2,20,8,108,5,7,27,6.91,5.541,53,1
98780,Aether Captains: The Search,2011,2,2,20,10,113,2,2,32,6.48,5.523,53,0
281516,Gelato Mio,2019,2,4,20,6,57,1,1,15,8.25,5.543,53,1
280149,Mastabas,2019,2,4,50,8,95,3,1,12,4.89,5.48,53,0
39007,Sniper! (Second Edition),1986,2,2,480,0,261,11,14,40,6.9,5.537,53,1
